Number,InsType,FrameBegin,VersionCode,SenderID,ReceiverID,DataLinkCode,AreaID,IntersectionID,OperationType,ObjectID,Reserve,Content,FrameCheck,FrameEnd
40,VersionUpload,0xc0,0x10,0x10,0x20,0x02,0x00,0x0001,0x82,0x0c,0x0101010101,*,0x00,0xc0
41,CharacterParameterVersionQuery,0xc0,0x10,0x20,0x10,0x04,0x00,0x0001,0x80,0x0d,TableNumber,,0x00,0xc0
42,CharacterParameterVersionQueryReply,0xc0,0x10,0x10,0x20,0x04,0x00,0x0001,0x83,0x0d,TableNumber,*,0x00,0xc0
43,CharacterParameterVersionSetting,0xc0,0x10,0x20,0x10,0x04,0x00,0x0001,0x81,0x0d,0x0504030201,*,0x00,0xc0
44,CharacterParameterVersionSettingReply,0xc0,0x10,0x10,0x20,0x04,0x00,0x0001,0x85,0x0d,0x0504030201,,0x00,0xc0
45,IdentificationCodeQuery,0xc0,0x10,0x20,0x10,0x04,0x00,0x0001,0x80,0x0e,TableNumber,,0x00,0xc0
46,IdentificationCodeQueryReply,0xc0,0x10,0x10,0x20,0x04,0x00,0x0001,0x83,0x0e,TableNumber,*,0x00,0xc0
47,RemoteControlSetting,0xc0,0x10,0x20,0x10,0x04,0x00,0x0001,0x81,0x0f,0x0504030201,*,0x00,0xc0
48,RemoteControlSettingReply,0xc0,0x10,0x10,0x20,0x04,0x00,0x0001,0x85,0x0f,0x0504030201,,0x00,0xc0
49,DetectorQuery,0xc0,0x10,0x20,0x10,0x04,0x00,0x0001,0x80,0x10,TableNumber,,0x00,0xc0
50,DetectorQueryReply,0xc0,0x10,0x10,0x20,0x04,0x00,0x0001,0x83,0x10,TableNumber,*,0x00,0xc0
51,DetectorSetting,0xc0,0x10,0x20,0x10,0x04,0x00,0x0001,0x81,0x10,0x0504030201,*,0x00,0xc0
52,DetectorSettingReply,0xc0,0x10,0x10,0x20,0x04,0x00,0x0001,0x85,0x10,0x0504030201,,0x00,0xc0
53,PhaseSequenceTableQuery,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x80,0x20,TableNumber,,0x00,0xc0
54,PhaseSequenceTableQueryReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x83,0x20,TableNumber,*,0x00,0xc0
55,PhaseSequenceTableSetting,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x81,0x20,0x0504030201,*,0x00,0xc0
56,PhaseSequenceTableSettingReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x85,0x20,0x0504030201,,0x00,0xc0
57,SchemaTableQuery,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x80,0x21,TableNumber,,0x00,0xc0
58,SchemaTableQueryReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x83,0x21,TableNumber,*,0x00,0xc0
59,SchemaTableSetting,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x81,0x21,0x0504030201,*,0x00,0xc0
60,SchemaTableSettingReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x85,0x21,0x0504030201,,0x00,0xc0
61,ActionTableQuery,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x80,0x22,TableNumber,,0x00,0xc0
62,ActionTableQueryReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x83,0x22,TableNumber,*,0x00,0xc0
63,ActionTableSetting,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x81,0x22,0x0504030201,*,0x00,0xc0
64,ActionTableSettingReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x85,0x22,0x0504030201,,0x00,0xc0
65,TimeTableQuery,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x80,0x23,TableNumber,,0x00,0xc0
66,TimeTableQueryReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x83,0x23,TableNumber,*,0x00,0xc0
67,TimeTableSetting,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x81,0x23,0x0504030201,*,0x00,0xc0
68,TimeTableSettingReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x85,0x23,0x0504030201,,0x00,0xc0
69,FollowPhaseTableQuery,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x80,0x24,TableNumber,,0x00,0xc0
70,FollowPhaseTableQueryReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x83,0x24,TableNumber,*,0x00,0xc0
71,FollowPhaseTableSetting,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x81,0x24,0x0504030201,*,0x00,0xc0
72,FollowPhaseTableSettingReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x85,0x24,0x0504030201,,0x00,0xc0
73,UnitParameterQuery,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x80,0x25,TableNumber,,0x00,0xc0
74,UnitParameterQueryReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x83,0x25,TableNumber,*,0x00,0xc0
75,UnitParameterSetting,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x81,0x25,0x0504030201,*,0x00,0xc0
76,UnitParameterSettingReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x85,0x25,0x0504030201,,0x00,0xc0
77,PedestrianDetectorQuery,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x80,0x26,TableNumber,,0x00,0xc0
78,PedestrianDetectorQueryReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x83,0x26,TableNumber,*,0x00,0xc0
79,PedestrianDetectorSetting,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x81,0x26,0x0504030201,*,0x00,0xc0
80,PedestrianDetectorSettingReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x85,0x26,0x0504030201,,0x00,0xc0
81,FailureConfigQuery,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x80,0x27,TableNumber,,0x00,0xc0
82,FailureConfigQueryReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x83,0x27,TableNumber,*,0x00,0xc0
83,FailureConfigSetting,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x81,0x27,0x0504030201,*,0x00,0xc0
84,FailureConfigSettingReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x85,0x27,0x0504030201,,0x00,0xc0
85,PriorityConfigQuery,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x80,0x28,TableNumber,,0x00,0xc0
86,PriorityConfigQueryReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x83,0x28,TableNumber,*,0x00,0xc0
87,PriorityConfigSetting,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x81,0x28,0x0504030201,*,0x00,0xc0
88,PriorityConfigSettingReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x85,0x28,0x0504030201,,0x00,0xc0
